window,mean_hr,sd_hr,max_hr,min_hr,label,subject
0,95.31450725192285,6.769128562806037,105.52763819095462,71.06598984771543,0,S10
1,92.53296817872649,7.869631914763596,107.14285714285671,77.7777777777777,0,S10
2,94.81399393526169,5.287881933686681,105.79345088161514,85.53971486761618,1,S10
3,101.20880548884818,3.328161384347764,109.37500000000152,94.38202247191217,1,S10
4,100.80041665060648,8.244320301042055,112.60053619302722,70.23411371237503,1,S10
5,96.16244037226309,3.8178658274991952,104.21836228287617,83.83233532934148,1,S10
6,102.08887248861932,4.173460451436957,112.60053619301522,95.67198177675452,1,S10
7,106.2163310088094,2.7904170025669224,113.20754716981715,98.36065573770271,1,S10
8,98.43803788708834,10.470618568712545,115.70247933884494,39.03345724907108,1,S10
9,103.33809266405798,6.401974427163199,115.38461538461942,79.54545454545153,1,S10
10,98.34394570861195,7.906866556985575,107.14285714286758,52.69761606022341,1,S10
11,104.245637437382,6.134404426738841,116.34349030469404,89.74358974358634,1,S10
12,100.58691894044965,6.8187242718319,113.82113821138394,86.95652173912356,1,S10
13,95.27684954316132,7.442579817816602,106.87022900763495,75.13416815742201,1,S10
14,99.94051416339138,4.264164007268743,106.87022900763495,89.55223880597562,1,S10
15,95.80850954396155,5.384677458066133,111.70212765957811,79.2452830188669,1,S10
16,91.15373726864023,5.567523920927737,103.70370370370487,80.45977011493335,1,S10
17,96.65148768577062,5.07221339189146,103.70370370370487,83.00395256915594,1,S10
18,102.80446887513087,7.615551168638704,114.4414168937307,35.38331929233801,1,S10
19,97.17987178009002,6.332496294804043,105.79345088159924,62.13017751479298,1,S10
20,99.9089168501468,4.045550918910975,108.52713178293604,92.10526315789124,1,S10
21,97.88406134433401,6.871762330650468,107.96915167087896,73.5551663747689,1,S10
22,82.73258901953001,7.063726595977236,97.22222222221853,66.77265500793744,0,S10
23,80.66539521017941,8.146003850515678,99.29078014177949,66.24605678233048,5,S10
24,75.67534555086881,4.5029735547236225,83.49900596423026,65.0154798761652,0,S10
25,80.65155480725873,6.546872156875672,96.10983981691103,70.5882352941252,0,S10
26,74.64731328756308,17.44226572124326,117.64705882353151,44.35058078141487,0,S10
27,70.99862651146832,4.087464433207869,77.92207792207977,62.31454005933869,3,S10
28,77.34974839576998,4.099550494209473,86.06557377049789,68.29268292683331,3,S10
29,80.0158005768259,7.449227288921692,95.45454545455334,55.40897097625217,3,S10
30,77.33173525839098,5.494146759731882,88.98305084744425,64.41717791412633,3,S10
31,77.7134473718489,7.013241978246252,93.75000000008527,65.0154798761652,3,S10
32,79.70287282435267,7.291349864941836,92.51101321583661,66.45569620251797,3,S10
33,86.63215895271706,11.772795703974857,111.70212765960176,63.06306306304937,0,S10
34,84.45349805003617,8.381529214834757,98.59154929578013,68.73977086743157,7,S10
